Name,Price,24h Change,Market Cap,Timestamp
CoinMarketCap 20 Index DTF,$163.81,0.10%,2.44%,2026-09-05 21:13:59.132773
Bitcoin,"$79,735.51",0.00%,2.40%,2026-09-05 21:13:59.132773
Ethereum,"$2,459.03",0.05%,0.55%,2026-09-05 21:13:59.132773
Tether,$1.00,0.00%,0.01%,2026-09-05 21:13:59.132773
BNB,$766.40,0.20%,10.98%,2026-09-05 21:13:59.132773
XRP,$1.41,0.43%,1.42%,2026-09-05 21:13:59.132773
USDC,$0.9999,0.00%,0.00%,2026-09-05 21:13:59.132773
Solana,$102.72,0.14%,2.18%,2026-09-05 21:13:59.132773
TRON,$0.3338,0.19%,1.32%,2026-09-05 21:13:59.132773
Hyperliquid,$85.19,0.07%,2.62%,2026-09-05 21:13:59.132773
CoinMarketCap 20 Index DTF,$164.32,0.30%,2.60%,2026-09-05 22:08:06.119921
Bitcoin,"$79,957.81",0.30%,2.52%,2026-09-05 22:08:06.119921
Ethereum,"$2,467.48",0.35%,0.74%,2026-09-05 22:08:06.119921
Tether,$1.00,0.00%,0.01%,2026-09-05 22:08:06.119921
BNB,$771.82,0.68%,11.57%,2026-09-05 22:08:06.119921
XRP,$1.41,0.07%,1.57%,2026-09-05 22:08:06.119921
USDC,$0.9997,0.01%,0.02%,2026-09-05 22:08:06.119921
Solana,$103.13,0.31%,1.74%,2026-09-05 22:08:06.119921
TRON,$0.3343,0.26%,1.15%,2026-09-05 22:08:06.119921
Hyperliquid,$85.60,0.49%,2.94%,2026-09-05 22:08:06.119921
